test_id,icmp,time
60dbm,0,0.8445887565612793
60dbm,1,0.8441140651702881
60dbm,2,0.8454082012176514
60dbm,3,0.845198392868042
60dbm,4,0.844470739364624
60dbm,5,0.8446784019470215
60dbm,6,0.8446884155273438
60dbm,7,0.8441088199615479
60dbm,8,0.8439736366271973
60dbm,9,0.8445892333984375
60dbm,10,0.845834493637085
60dbm,11,0.8459470272064209
60dbm,12,0.8454530239105225
60dbm,13,0.8452112674713135
